instrument,rmse,mae,r2,n_samples,correlation,direction_accuracy_proxy,base_currency,quote_currency,base_type,quote_type
AUD_NZD,0.14455393505425698,0.1254184808069772,0.00236026390371169,1370,0.048582547316003206,0.514574764194801,AUD,NZD,commodity,commodity
EUR_GBP,0.1440729860809356,0.12501002608424555,0.002339939893488241,1370,0.04837292521119889,0.5145118775633597,EUR,GBP,major,major
GBP_USD,0.15078972147603603,0.12988453291628482,0.0017130098838143981,1370,0.04138852357616055,0.5124165570728482,GBP,USD,major,major
EUR_AUD,0.15080070311748522,0.13065941289045516,0.001271718462882876,1370,0.03566116182744017,0.510698348548232,EUR,AUD,major,commodity
NZD_USD,0.14733403842615317,0.12685508155648725,0.0012625957259730924,1370,0.03553302303453919,0.5106599069103618,NZD,USD,commodity,major
EUR_NZD,0.1510866532563842,0.1303958379125943,0.0009839076302838867,1370,0.0313673019286627,0.5094101905785988,EUR,NZD,major,commodity
GBP_CHF,0.14705551177002488,0.12729225141288592,0.0009080578805197304,1370,0.03013399874758958,0.5090401996242768,GBP,CHF,major,other
AUD_JPY,0.1478554997585353,0.12773280913290316,0.00039697769752289336,1370,0.01992429917269095,0.5059772897518073,AUD,JPY,commodity,major
AUD_USD,0.1472417487018969,0.12709786685713886,1.6189792488408017e-05,1370,0.004023654121368786,0.5012070962364107,AUD,USD,commodity,major
USD_CAD,0.14668649699753686,0.1270848271881577,-4.494660561960018e-06,1370,-0.0021200614524017974,0.5006360184357206,USD,CAD,major,commodity
EUR_CAD,0.15178922363140523,0.13124473904345157,-7.900465214438768e-05,1370,-0.008888456117031105,0.5026665368351093,EUR,CAD,major,commodity
GBP_JPY,0.14878846335063428,0.12883429917627878,-0.00015935765855501494,1370,-0.012623694330702678,0.5037871082992108,GBP,JPY,major,major
GBP_CAD,0.1515430911304371,0.13111132681630824,-0.00019347993741347658,1370,-0.013909706589769482,0.5041729119769308,GBP,CAD,major,commodity
GBP_NZD,0.1474139684623758,0.12668696140720898,-0.00038720514950063567,1370,-0.019677529049670735,0.5059032587149013,GBP,NZD,major,commodity
AUD_CHF,0.14541053577288438,0.1262404010765744,-0.0004203609354518356,1370,-0.02050270556418922,0.5061508116692568,AUD,CHF,commodity,other
EUR_USD,0.1442230290046313,0.12463681755274751,-0.0004992864301824884,1370,-0.022344718171919027,0.5067034154515757,EUR,USD,major,major
EUR_CHF,0.1465705222478521,0.12649081669932732,-0.0007976310467430192,1370,-0.02824236262678849,0.5084727087880365,EUR,CHF,major,other
GBP_AUD,0.1523974648732517,0.13133754372248685,-0.0011074416422200972,1370,-0.033278245780390785,0.5099834737341172,GBP,AUD,major,commodity
USD_CHF,0.14292794153216054,0.12345897106880689,-0.0018882989935415928,1370,-0.04345456240191118,0.5130363687205733,USD,CHF,major,other
EUR_JPY,0.14886324853408522,0.12845288925623372,-0.0020576211466698524,1370,-0.04536100910109753,0.5136083027303293,EUR,JPY,major,major
USD_JPY,0.14930681417564415,0.12904161823056912,-0.0031357599672536818,1370,-0.055997856809468,0.5167993570428404,USD,JPY,major,major
CAD_JPY,0.14501975660556368,0.12544780214511567,-0.0036763265102170983,1370,-0.060632718149668155,0.5181898154449004,CAD,JPY,commodity,major
CHF_JPY,0.1471842967105794,0.12752054088133094,-0.0043662431722379935,1370,-0.06607755422409332,0.519823266267228,CHF,JPY,other,major
NZD_JPY,0.14475828727227993,0.12517567609348434,-0.014962874255498804,1370,-0.12232282802281348,0.5366968484068441,NZD,JPY,commodity,major
